,Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists_x,Penalty_made,Penalty_attempted,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists_y,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
96,Alessandro Bastoni,ITA,DF,Serie A,25.0,28,28,2268,1,3,0,0,Internazionale,10190000.0,0.03,0.56,0.09,2.17,73.99,0.859,4.9,2.05,0.41,1.14,2.55,1.58,0.88,1.0,2.14,1.5,,,,,,,,,,,
97,Alessandro Buongiorno,ITA,DF,Serie A,24.0,28,28,2437,3,0,0,0,Torino,1480000.0,0.1,0.48,0.03,0.86,43.9,0.848,2.29,0.51,0.0,0.75,0.41,2.36,2.53,0.72,4.66,2.91,,,,,,,,,,,
98,Alessandro Deiola,ITA,MF,Serie A,28.0,26,18,1531,0,0,0,0,Cagliari,740000.0,0.0,1.23,0.0,1.54,28.94,0.688,3.5,0.49,0.18,1.17,1.11,1.84,0.49,0.92,1.97,1.97,,,,,,,,,,,
99,Alessandro Dellavalle,ITA,DF,Serie A,20.0,1,0,15,0,0,0,0,Torino,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
100,Alessandro Di Pardo,ITA,"MF,DF",Serie A,24.0,14,2,358,0,0,0,0,Cagliari,280000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
101,Alessandro Florenzi,ITA,DF,Serie A,33.0,30,18,1642,1,3,0,0,Milan,5560000.0,0.04,1.71,0.27,3.91,67.56,0.821,5.43,1.71,0.18,0.76,2.42,2.29,1.03,0.99,1.48,0.45,,,,,,,,,,,
102,Alessandro Sorrentino,ITA,GK,Serie A,22.0,6,4,458,0,0,0,0,AC Monza Brianza 1912,170000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
103,Alessandro Vogliacco,ITA,DF,Serie A,25.0,19,13,1079,0,1,0,0,Genoa,190000.0,0.0,0.45,0.09,1.98,49.82,0.785,4.14,0.72,0.27,0.81,1.08,1.71,2.34,1.35,2.88,2.16,,,,,,,,,,,
104,Alessandro Zanoli,ITA,DF,Serie A,23.0,19,8,802,0,2,0,0,Salernitana,740000.0,0.0,0.25,0.25,2.17,44.08,0.755,3.26,2.76,0.84,1.51,4.35,1.59,0.42,1.34,2.09,0.59,,,,,,,,,,,
105,Alessio Cragno,ITA,GK,Serie A,29.0,2,2,180,0,0,0,0,Sassuolo,1850000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
