Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Valentin Gendrey,Lecce,640000,0.06,0.51,0.08,1.75,40.33,0.749,3.38,2.08,0.42,1.24,2.62,1.63,0.99,1.07,3.01,1.52,,,,,,,,,,,
Denis Genreau,Toulouse,180000,0,0.44,0,2.34,39.3,0.706,2.92,1.61,0.88,2.05,5.11,2.34,0.88,1.46,1.46,0.88,,,,,,,,,,,
Yannick Gerhardt,Wolfsburg,3600000,0.1,1,0.1,1.95,41.47,0.776,2.85,0.85,0,2.4,4.5,1.6,0.4,0.8,1.8,1.5,,,,,,,,,,,
Anwar El Ghazi,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Farés Ghedjemis,Frosinone,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,Brentford,906348,0.13,1.14,0,2.52,55.16,0.723,4.29,2.78,0.38,1.26,3.91,3.28,0.63,1.26,1.39,0.5,,,,,,,,,,,
Lautaro Gianetti,Udinese,1390000,0.14,0.43,0,0.43,42.86,0.877,0.57,0.29,0.14,0.71,0,1.29,2.71,1.43,5.57,1.14,,,,,,,,,,,
Morgan Gibbs-White,Nottingham Forest,4833857,0.11,1.97,0.31,4.13,41.37,0.7,4.69,2.28,1.28,2.89,5.08,1.03,0.44,0.83,0.64,1.75,,,,,,,,,,,
Samuel Gigot,Marseille,2270000,0.11,0.91,0,1.06,49.19,0.883,2.91,0.45,0.11,1.93,0.49,1.77,1.4,1.4,4.3,2.42,,,,,,,,,,,
Bryan Gil,Tottenham Hotspur,2416928,,,,,,0,,,,,,,,,,,,,,,,,,,,,
David Gil,Cádiz,330000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Mario Gila,Lazio,,0,0.5,0,0.63,62.58,0.902,4.29,0.9,0.32,0.54,0.45,1.63,0.95,1.31,3.39,1.49,,,,,,,,,,,
Alfie Gilchrist,Chelsea,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Billy Gilmour,Brighton & Hove Albion,1208464,0,0.96,0.06,2.69,83.09,0.907,7.49,1.57,0.38,0.51,1.47,1.06,0.58,0.8,0.64,0.51,,,,,,,,,,,
Benedikt Gimber,Heidenheim,500000,0.05,0.79,0.05,0.37,37.05,0.8,1.07,0.09,0.33,1.17,0.28,1.86,0.75,1.26,4.57,2.14,,,,,,,,,,,
Gvidas Gineitis,Torino,,0,1.51,0,2.68,47.51,0.799,4.18,1.51,0.5,0.84,2.01,1.84,0.67,1.67,1.51,1.17,,,,,,,,,,,
