position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
"FW,MF",Premier League,28.0,292,242,2242,50,4833857.0,0.19,2.19,0.07,4.27,41.88,0.768,5.76,4.46,1.6,3.16,7.02,1.19,0.71,0.74,0.37,0.3,-0.1817345838594364
MF,Bundesliga,26.0,24,13,1370,0,1790000.0,0.05,1.2,0.05,1.65,32.98,0.723,3.3,1.15,0.55,1.3,2.5,1.3,0.8,0.9,1.7,1.1,-0.1817345838594364
DF,Serie A,33.0,15,7,648,0,11110000.0,0.0,0.51,0.0,1.65,70.61,0.855,5.45,2.03,0.38,0.89,1.14,1.52,1.77,1.65,2.66,1.39,-0.1817345838594364
MF,Premier League,20.0,22,11,993,1,2416928.0,0.09,1.36,0.09,3.99,41.42,0.761,4.44,2.18,1.18,2.63,3.17,2.18,1.09,1.27,1.63,1.27,-0.1817345838594364
"FW,MF",La Liga,24.0,282,130,1216,0,240000.0,0.0,1.92,0.22,4.96,30.86,0.631,3.03,2.89,3.18,3.48,7.62,1.78,0.81,1.26,1.18,1.33,-0.1817345838594364
FW,Premier League,24.0,29,26,2175,20,7250785.0,0.52,2.75,0.03,2.62,20.04,0.786,2.91,2.71,1.6,5.13,5.36,0.29,0.16,0.65,0.49,0.49,3.127138437323927
FW,La Liga,28.0,32,28,2383,19,3600000.0,0.71,2.71,0.24,2.38,16.73,0.737,1.49,1.85,1.04,5.3,5.63,0.15,0.03,0.42,1.04,2.68,-0.1817345838594364
FW,Ligue 1,32.0,28,26,2203,17,6000000.0,0.66,2.66,0.11,2.44,22.24,0.723,2.62,0.84,0.91,5.02,5.93,0.84,0.29,0.84,0.33,0.95,0.4216341450330366
MF,Serie A,27.0,30,15,1566,0,640000.0,0.0,0.85,0.1,1.8,40.37,0.855,3.3,0.3,0.2,1.1,0.5,1.9,1.2,1.15,1.95,1.6,-0.1817345838594364
MF,Ligue 1,25.0,17,3,440,0,1200000.0,0.35,3.3,0.17,2.61,47.43,0.799,3.47,2.43,3.13,2.95,4.34,2.08,0.87,0.7,1.22,0.52,-0.1817345838594364
MF,Premier League,25.0,32,30,2530,4,9063481.0,0.08,1.38,0.23,3.78,66.92,0.863,6.91,1.52,0.68,1.04,1.8,3.02,1.18,2.31,0.87,0.93,0.4216341450330366
FW,Serie A,35.0,21,6,714,2,4630000.0,0.14,1.25,0.28,3.48,35.29,0.732,4.52,1.18,1.18,3.55,6.33,0.77,0.21,0.42,0.21,0.84,0.4216341450330366
DF,Premier League,24.0,36,33,2835,1,453174.0,0.03,0.79,0.25,3.59,52.06,0.667,3.24,2.95,1.02,2.41,5.05,1.94,0.95,1.49,1.33,0.73,-0.1817345838594364
DF,La Liga,32.0,30,28,2417,0,580000.0,0.0,0.68,0.03,2.07,51.24,0.732,3.99,1.49,0.78,0.97,3.4,2.33,1.49,0.94,2.4,0.68,-0.1817345838594364
DF,La Liga,28.0,19,14,1116,1,2200000.0,0.06,0.63,0.25,2.44,49.22,0.76,2.19,4.38,0.69,1.94,7.51,1.94,1.19,1.13,1.5,0.44,-0.1817345838594364
MF,Serie A,31.0,29,23,1812,2,2410000.0,0.09,1.02,0.22,2.83,47.88,0.782,6.24,1.11,0.93,0.8,2.12,1.55,0.44,1.24,0.53,1.19,-0.1817345838594364
DF,Ligue 1,23.0,1410,136,1634,0,300000.0,0.0,0.46,0.05,1.19,55.64,0.831,2.75,1.51,0.83,0.14,1.33,2.75,1.88,1.38,2.39,1.33,-0.1817345838594364
"DF,FW",Ligue 1,21.0,6,0,63,0,400000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Ligue 1,27.0,1,0,1,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,23.0,29,24,2065,2,11250000.0,0.07,0.5,0.17,2.85,69.93,0.875,4.73,4.67,2.89,2.35,5.67,2.05,0.97,1.31,1.98,0.54,-0.1817345838594364
"FW,MF",Premier League,21.0,8,2,316,1,1742977.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Bundesliga,26.0,21,19,1526,2,3800000.0,0.1,1.29,0.05,2.63,48.42,0.847,5.6,0.5,0.45,0.69,0.69,2.43,1.29,1.64,1.98,1.83,-0.1817345838594364
MF,Premier League,22.0,29,22,2001,2,6042321.0,0.08,1.28,0.0,2.44,43.88,0.84,4.89,0.95,0.58,1.41,1.82,2.94,1.04,0.99,1.24,2.32,-0.1817345838594364
DF,Premier League,30.0,21,21,1720,0,604232.0,0.0,0.1,0.0,1.31,43.69,0.772,3.98,1.67,0.52,0.26,0.52,2.62,1.31,1.73,3.14,1.05,-0.1817345838594364
"FW,MF",La Liga,27.0,15,3,394,0,420000.0,0.79,2.52,0.32,3.15,28.37,0.744,3.94,3.78,2.05,5.2,7.88,1.26,0.47,1.1,0.32,0.79,-0.1817345838594364
