position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
MF,Serie A,25.0,14,4,400,2,450000.0,0.34,1.38,0.0,1.55,27.36,0.799,2.93,1.2,0.34,1.03,2.41,0.86,1.38,1.2,2.75,0.52,-0.1817345838594364
MF,La Liga,24.0,30,25,1975,4,2500000.0,0.2,1.81,0.2,3.67,35.81,0.805,5.6,3.34,1.29,3.55,6.81,0.89,0.44,0.2,0.28,1.05,0.1102947928615624
DF,Premier League,27.0,22,20,1692,1,2416928.0,0.05,0.61,0.05,1.99,43.34,0.749,3.68,2.81,1.43,0.72,2.04,2.5,1.02,1.02,2.61,0.82,-0.1817345838594364
MF,La Liga,23.0,12,2,313,0,300000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Bundesliga,23.0,2,0,54,0,250000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,27.0,26,20,1690,1,9063481.0,0.05,0.82,0.09,2.97,81.45,0.88,11.39,2.2,0.32,1.33,2.84,2.56,1.1,0.96,1.28,1.28,-0.1817345838594364
FW,Bundesliga,27.0,1,0,32,0,1020000.0,0.0,0.72,0.0,1.88,28.51,0.665,2.15,1.52,0.72,2.06,6.61,1.07,0.63,0.36,0.98,3.22,-0.1817345838594364
FW,Premier League,27.0,21,15,1280,6,1510580.0,0.28,2.18,0.21,2.04,28.69,0.593,2.11,0.42,0.42,5.2,4.22,1.2,0.35,1.27,1.97,7.73,1.0250028739255097
MF,Premier League,33.0,27,16,1440,1,1208464.0,0.0,0.88,0.0,2.0,56.94,0.696,4.56,0.19,0.06,0.38,0.63,2.56,1.31,1.5,2.44,0.88,0.4216341450330366
"MF,DF",Premier League,23.0,20,5,692,0,2416928.0,0.0,0.31,0.0,1.86,48.98,0.903,4.24,0.83,0.41,1.24,2.79,2.27,0.72,1.45,1.24,0.41,-0.1817345838594364
DF,Bundesliga,24.0,29,14,1365,2,750000.0,0.13,1.13,0.07,2.25,47.95,0.744,2.65,1.72,0.66,1.85,3.44,1.85,0.86,1.59,3.05,0.99,-0.1817345838594364
FW,Serie A,37.0,34,27,2279,14,4490000.0,0.38,2.5,0.25,1.74,18.61,0.682,1.03,0.35,0.15,4.36,3.5,0.53,0.18,0.48,1.06,2.32,2.523769708431454
FW,Premier League,28.0,36,36,3150,19,7855017.0,0.54,2.9,0.35,2.9,16.78,0.752,1.54,1.68,0.7,5.93,6.01,0.41,0.16,0.7,0.6,1.43,-0.1817345838594364
DF,La Liga,27.0,30,23,2105,0,1200000.0,0.04,0.99,0.04,1.22,41.76,0.636,3.96,1.03,0.46,1.37,0.34,1.11,0.65,1.22,4.5,2.21,-0.1817345838594364
"FW,MF",Bundesliga,25.0,29,27,2301,12,1600000.0,0.4,3.07,0.24,2.99,22.87,0.707,2.38,3.39,1.49,6.17,6.58,0.85,0.4,0.48,0.28,1.09,1.0250028739255097
MF,La Liga,31.0,27,18,1505,0,820000.0,0.0,0.36,0.0,0.84,44.19,0.817,3.77,0.72,0.42,0.42,0.6,1.91,1.73,1.44,1.79,1.73,-0.1817345838594364
"FW,MF",La Liga,30.0,5,1,82,0,360000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Serie A,29.0,31,28,2366,1,1100000.0,0.04,0.87,0.15,3.42,43.9,0.75,4.26,1.29,0.76,0.72,1.79,2.21,0.99,0.99,0.8,0.23,0.1102947928615624
MF,Premier League,26.0,207,194,1938,12,1812696.0,0.13,0.64,0.0,1.37,36.1,0.869,3.17,0.9,0.64,0.69,1.46,1.5,1.5,0.73,1.76,0.69,-0.1817345838594364
MF,La Liga,32.0,27,11,891,0,3500000.0,0.0,0.72,0.06,1.8,70.39,0.895,5.78,0.9,0.48,0.54,0.6,2.53,0.84,1.08,1.26,1.2,-0.1817345838594364
"FW,MF",Ligue 1,20.0,4,0,44,1,500000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Ligue 1,27.0,6,4,260,0,1200000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Ligue 1,33.0,12,4,375,0,320000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Ligue 1,27.0,26,17,1506,3,20000000.0,0.17,2.79,0.37,6.41,59.82,0.73,6.85,9.27,3.69,6.65,14.33,1.21,0.37,0.57,0.17,0.27,-0.1817345838594364
MF,Serie A,22.0,16,4,442,2,580000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Ligue 1,21.0,13,11,935,0,270000.0,0.0,0.58,0.0,2.12,60.64,0.851,6.45,2.31,0.48,0.29,1.44,2.12,1.64,0.87,1.35,0.58,-0.1817345838594364
DF,Bundesliga,24.0,28,28,2282,4,3150000.0,0.15,0.69,0.0,0.81,52.91,0.848,4.12,0.77,0.31,1.04,0.38,1.81,1.81,1.65,4.39,2.58,-0.1817345838594364
"FW,MF",La Liga,28.0,1415,134,1529,30,3120000.0,0.18,1.43,0.09,3.6,50.82,0.757,7.16,2.54,0.83,3.47,6.84,1.52,1.62,1.16,0.83,0.74,-0.1817345838594364
"MF,DF",Serie A,27.0,2,0,11,0,450000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,La Liga,25.0,31,10,997,1,180000.0,0.08,2.32,0.08,2.24,35.97,0.751,4.88,2.16,0.64,3.6,4.08,1.68,0.72,2.0,1.44,2.64,-0.1817345838594364
DF,La Liga,26.0,21,17,1433,0,980000.0,0.0,0.5,0.1,1.71,35.29,0.629,2.16,2.06,1.11,1.26,3.83,2.21,0.65,0.7,1.66,1.96,-0.1817345838594364
DF,Serie A,30.0,32,28,2435,0,2050000.0,0.0,0.27,0.0,0.67,59.56,0.907,2.13,0.07,0.17,0.57,0.07,1.5,1.4,1.3,3.96,1.43,-0.1817345838594364
"MF,DF",Ligue 1,27.0,29,20,1919,0,390000.0,0.0,0.77,0.0,1.88,51.66,0.888,4.23,0.85,0.6,1.02,1.32,1.75,1.28,1.2,1.75,1.45,-0.1817345838594364
"FW,MF",Premier League,32.0,30,20,1745,4,5438089.0,0.1,2.28,0.35,4.42,49.76,0.7,5.66,2.18,0.84,2.83,7.19,1.04,0.55,0.94,0.5,0.35,1.0250028739255097
DF,Serie A,27.0,13,13,856,0,960000.0,0.0,0.42,0.0,0.53,42.58,0.81,3.57,0.32,0.11,0.84,0.74,2.31,1.37,1.47,3.15,0.53,-0.1817345838594364
"MF,DF",Ligue 1,25.0,14,8,696,1,1500000.0,0.1,1.01,0.0,1.71,52.91,0.817,5.24,0.81,0.3,0.81,1.71,3.73,1.41,1.81,1.21,1.51,-0.1817345838594364
MF,Premier League,21.0,33,26,2004,3,4229625.0,0.13,1.6,0.18,2.4,58.58,0.874,6.57,1.91,0.89,1.95,3.95,1.51,1.38,0.93,1.24,1.02,-0.1817345838594364
"FW,MF",Serie A,36.0,2,0,41,0,1920000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Premier League,32.0,35,33,3024,4,3927509.0,0.11,1.41,0.26,4.83,88.21,0.86,8.05,2.27,0.46,2.05,4.98,1.92,0.46,1.12,0.84,0.37,0.4216341450330366
DF,Bundesliga,28.0,23,14,1064,0,940000.0,0.0,1.22,0.43,3.13,70.09,0.864,7.3,2.87,0.52,0.35,3.91,1.57,1.22,1.91,2.26,0.78,-0.1817345838594364
DF,Serie A,28.0,189,164,1694,0,1850000.0,0.0,0.65,0.15,1.79,48.26,0.76,3.03,2.58,1.69,1.14,4.57,1.69,0.3,0.84,2.09,0.84,-0.1817345838594364
MF,La Liga,30.0,29,14,1502,1,340000.0,0.06,1.14,0.0,1.54,48.47,0.832,4.61,0.74,0.91,1.42,1.2,2.28,1.65,1.37,3.08,2.56,-0.1817345838594364
DF,Serie A,31.0,19,18,1518,2,2220000.0,0.09,0.36,0.0,0.64,70.48,0.881,4.23,0.27,0.05,0.46,0.59,0.77,0.55,0.82,2.82,0.64,-0.1817345838594364
DF,Bundesliga,24.0,11,4,511,0,600000.0,0.0,1.94,0.18,1.23,47.03,0.723,3.35,0.18,0.0,3.35,0.7,1.94,1.94,1.76,3.7,3.52,-0.1817345838594364
"MF,DF",Serie A,29.0,22,18,1598,0,1480000.0,0.05,1.74,0.05,2.9,47.78,0.789,3.97,2.37,0.58,1.84,5.33,1.55,0.53,1.07,1.45,0.44,-0.1817345838594364
"DF,FW",Bundesliga,33.0,8,0,86,0,1700000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,29.0,34,34,3060,2,750000.0,0.06,0.88,0.0,0.79,45.7,0.83,3.67,1.0,0.3,1.33,0.15,2.58,1.45,1.88,4.61,3.48,-0.1817345838594364
MF,Bundesliga,24.0,24,21,1861,2,520000.0,0.1,1.07,0.05,2.38,40.11,0.789,3.21,1.26,0.83,1.41,3.11,1.75,1.31,1.9,1.65,1.26,-0.1817345838594364
"FW,MF",Bundesliga,22.0,14,8,589,2,2000000.0,0.27,1.6,0.0,2.8,31.95,0.625,2.53,1.46,1.33,3.59,7.06,1.86,0.67,2.0,1.2,1.86,-0.1817345838594364
FW,Bundesliga,28.0,20,12,1063,7,6000000.0,0.74,3.66,0.0,2.91,19.98,0.8,1.56,0.88,0.68,7.99,6.91,0.68,0.07,0.34,0.61,2.37,0.4216341450330366
DF,Premier League,27.0,29,27,2464,2,6042321.0,0.07,0.43,0.0,0.79,65.18,0.872,4.51,1.51,0.66,0.89,0.63,1.02,0.46,0.99,2.9,0.95,-0.1817345838594364
MF,Ligue 1,26.0,82,40,334,0,750000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,32.0,4,0,19,0,2114812.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,25.0,6,2,234,0,420000.0,0.0,0.0,0.0,0.56,46.78,0.864,4.68,0.75,0.75,0.37,0.56,1.87,2.06,1.5,2.99,1.68,-0.1817345838594364
MF,Serie A,31.0,2,0,54,0,42000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Serie A,29.0,25,9,950,0,930000.0,0.0,1.99,0.0,2.37,46.14,0.661,3.32,4.45,1.23,1.8,3.98,1.8,1.52,1.04,2.18,1.23,-0.1817345838594364
"FW,MF",Serie A,30.0,26,24,1845,13,7040000.0,0.31,2.45,0.35,4.18,44.55,0.801,5.5,3.53,1.24,3.63,7.67,0.86,0.21,0.59,0.28,0.24,4.0418465183878745
"DF,FW",Bundesliga,32.0,29,28,2412,3,2000000.0,0.12,0.7,0.16,2.33,47.75,0.695,3.29,1.47,0.08,2.29,5.7,1.09,0.89,0.85,2.64,2.4,-0.1817345838594364
DF,Serie A,28.0,27,24,2053,0,380000.0,0.0,0.39,0.0,0.48,50.2,0.829,3.84,0.48,0.17,0.57,0.22,2.36,1.05,0.74,4.72,2.84,-0.1817345838594364
MF,Bundesliga,20.0,7,1,101,0,240000.0,0.27,2.66,0.0,3.25,31.75,0.803,3.39,2.86,0.66,4.32,5.18,2.72,0.46,1.39,0.66,0.73,-0.1817345838594364
"FW,MF",La Liga,21.0,22,15,1357,2,9380000.0,0.11,0.79,0.28,4.1,64.92,0.86,7.29,2.58,0.95,2.02,4.26,2.24,0.79,1.63,1.01,0.06,-0.1817345838594364
"FW,MF",Serie A,36.0,32,5,815,1,2820000.0,0.15,1.38,0.15,2.84,46.15,0.839,3.37,3.3,1.61,2.91,7.97,1.84,0.23,1.46,0.15,0.23,-0.1817345838594364
MF,Ligue 1,26.0,32,31,2594,1,720000.0,0.03,0.56,0.03,2.34,59.09,0.859,6.59,0.33,0.2,0.89,1.81,1.88,1.02,0.79,0.96,0.43,-0.1817345838594364
"FW,MF",Premier League,24.0,19,18,1503,2,3021160.0,0.12,2.1,0.54,4.43,42.75,0.745,3.23,5.81,2.22,4.97,8.86,0.42,0.24,0.3,0.12,0.24,-0.1817345838594364
MF,Serie A,32.0,6,4,329,0,1090000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,26.0,21,8,756,0,380000.0,0.0,0.36,0.24,2.62,54.52,0.79,4.52,2.14,0.48,1.43,7.74,1.55,0.48,1.79,2.02,0.48,-0.1817345838594364
DF,Premier League,24.0,34,34,3014,2,5135973.0,0.09,1.62,0.23,3.15,68.56,0.758,5.45,1.67,0.75,2.08,4.79,2.68,0.98,1.93,2.91,0.43,-0.1817345838594364
"MF,DF",La Liga,26.0,20,11,1062,1,350000.0,0.07,0.96,0.22,3.31,59.14,0.764,5.51,2.06,0.88,1.1,6.47,1.69,0.51,1.32,2.2,0.96,-0.1817345838594364
"FW,MF",Serie A,27.0,10,2,241,0,370000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,24.0,9,9,770,1,1790000.0,0.09,0.8,0.0,0.44,45.09,0.884,1.95,0.89,0.35,0.89,0.35,2.04,0.97,1.33,2.83,1.77,-0.1817345838594364
"MF,DF",La Liga,25.0,2,0,10,0,440000.0,0.2,0.4,0.1,1.39,59.14,0.785,5.56,0.79,0.0,1.19,1.59,2.58,2.28,1.29,4.47,4.47,-0.1817345838594364
DF,Premier League,26.0,19,15,1243,2,3021160.0,0.1,0.93,0.21,3.01,67.09,0.834,6.01,3.32,0.73,2.49,5.96,1.87,1.09,0.88,1.56,0.88,-0.1817345838594364
"FW,MF",Premier League,23.0,34,32,2768,17,13595222.0,0.55,3.37,0.31,4.6,55.43,0.86,5.63,3.22,1.56,5.97,9.05,0.84,0.36,0.91,0.55,0.26,-0.1817345838594364
MF,Premier League,27.0,28,13,1376,2,2719044.0,0.12,1.78,0.12,2.82,36.34,0.762,3.38,1.29,0.86,3.81,3.99,2.15,1.23,1.78,1.78,2.33,-0.1817345838594364
"FW,MF",Bundesliga,29.0,13,3,385,0,600000.0,0.18,1.59,0.0,4.6,44.91,0.76,5.13,1.59,0.35,2.12,4.07,2.12,1.41,0.53,0.53,0.53,-0.1817345838594364
FW,Bundesliga,31.0,29,18,1571,4,780000.0,0.22,2.07,0.11,2.78,24.53,0.62,2.13,0.27,0.49,4.91,4.85,0.6,0.22,0.55,1.36,6.54,-0.1817345838594364
DF,Bundesliga,27.0,15,14,1265,1,680000.0,0.05,0.59,0.05,0.88,69.54,0.845,3.47,0.98,0.0,0.73,0.2,1.03,0.88,1.17,3.47,2.35,-0.1817345838594364
DF,Bundesliga,30.0,23,17,1350,1,1990000.0,0.06,0.52,0.13,2.32,59.87,0.827,4.32,1.68,0.45,1.29,3.87,1.74,0.52,1.16,1.29,0.77,-0.1817345838594364
FW,Bundesliga,26.0,34,31,2382,8,750000.0,0.31,2.03,0.16,2.03,19.84,0.621,1.79,0.7,0.47,4.72,4.33,0.86,0.23,0.66,1.36,4.05,-0.1817345838594364
DF,Bundesliga,30.0,23,23,1996,1,900000.0,0.05,1.04,0.09,2.5,42.92,0.701,3.31,2.31,0.66,1.32,4.16,1.46,0.8,1.27,2.17,0.76,-0.1817345838594364
DF,Bundesliga,22.0,26,16,1484,1,2080000.0,0.04,0.99,0.11,1.39,80.98,0.897,5.33,2.12,0.26,1.61,2.48,1.94,1.06,0.95,2.48,1.79,-0.1817345838594364
MF,Premier League,28.0,35,8,1286,0,6042321.0,0.0,1.26,0.0,2.73,96.86,0.871,9.31,1.19,0.84,1.12,2.03,2.17,1.33,1.47,2.1,0.56,-0.1817345838594364
DF,Serie A,23.0,9,4,374,0,2560000.0,0.0,0.2,0.0,1.2,60.07,0.884,3.59,1.6,0.4,0.6,1.8,0.8,0.8,1.4,2.79,0.6,-0.1817345838594364
MF,Ligue 1,30.0,29,29,2517,4,2180000.0,0.13,1.87,0.13,3.04,58.48,0.848,6.65,1.71,1.0,1.42,1.49,3.36,1.49,2.07,2.16,0.68,-0.1817345838594364
FW,Ligue 1,34.0,33,29,2532,16,7800000.0,0.48,3.52,0.28,2.4,22.64,0.684,2.12,2.28,0.68,5.11,7.77,0.66,0.3,1.06,0.86,0.83,2.2317403317104554
"FW,MF",Serie A,23.0,23,6,694,1,1280000.0,0.14,1.82,0.0,0.98,15.98,0.623,0.7,1.12,0.42,3.22,6.45,0.7,0.14,0.42,0.42,3.22,-0.1817345838594364
MF,Serie A,29.0,28,23,1924,3,6480000.0,0.07,1.41,0.1,4.46,61.12,0.833,6.45,2.02,0.79,1.89,4.05,0.89,0.45,0.48,0.58,0.24,0.4216341450330366
DF,Serie A,26.0,23,16,1362,2,1000000.0,0.13,0.52,0.07,1.97,44.54,0.769,4.19,1.83,0.33,0.85,3.8,1.57,1.18,0.72,2.49,0.85,-0.1817345838594364
"FW,MF",Serie A,24.0,29,24,2052,2,770000.0,0.09,1.75,0.04,2.76,20.39,0.738,1.36,3.11,1.62,3.46,6.01,1.84,0.61,0.92,0.44,0.61,-0.1817345838594364
"FW,MF",La Liga,31.0,313,100,1213,70,1800000.0,0.45,1.41,0.32,2.04,23.31,0.726,2.36,2.3,0.32,3.9,6.64,1.66,0.19,0.64,0.51,0.7,-0.1817345838594364
DF,Ligue 1,29.0,29,24,2171,3,1550000.0,0.06,0.92,0.12,2.79,53.12,0.759,4.27,2.28,0.47,1.87,7.94,2.49,0.95,1.1,1.66,0.59,0.7136635217540354
MF,Serie A,29.0,1,0,9,0,200000.0,0.0,0.23,0.0,0.45,57.69,0.858,2.64,0.23,0.15,0.38,0.3,1.13,1.43,0.9,3.99,1.88,-0.1817345838594364
DF,Ligue 1,22.0,169,158,1965,0,120000.0,0.03,0.87,0.07,2.95,56.17,0.753,5.9,1.98,0.7,1.21,5.46,2.01,0.94,1.04,1.57,0.37,-0.1817345838594364
"DF,FW",La Liga,38.0,20,1,328,1,1200000.0,,,,,,0.0,,,,,,,,,,,0.4216341450330366
MF,Serie A,30.0,10,8,687,0,2780000.0,0.0,0.36,0.0,2.04,59.1,0.907,4.14,1.6,0.58,0.58,0.36,1.67,1.09,1.09,1.45,1.24,-0.1817345838594364
DF,Serie A,22.0,198,193,2049,20,930000.0,0.09,0.79,0.04,0.57,43.62,0.835,1.58,0.44,0.04,1.27,0.61,0.92,1.23,0.97,4.44,2.9,-0.1817345838594364
"FW,MF",La Liga,26.0,15,3,391,2,1900000.0,0.39,2.6,0.0,2.08,19.28,0.649,0.52,0.65,0.26,4.43,3.39,0.39,0.39,0.52,0.39,3.26,-0.1817345838594364
FW,Bundesliga,28.0,19,11,991,4,2500000.0,0.35,1.77,0.0,2.03,27.41,0.745,2.65,1.59,0.62,3.54,6.9,0.97,0.18,0.71,0.97,2.3,-0.1817345838594364
FW,Serie A,24.0,33,28,2454,8,6410000.0,0.37,2.59,0.34,4.45,34.47,0.735,3.66,5.33,2.74,6.13,10.02,0.76,0.37,0.51,0.51,0.86,-0.1817345838594364
DF,Serie A,33.0,16,8,801,0,1850000.0,0.0,0.35,0.0,0.99,55.28,0.833,5.0,0.49,0.21,0.63,0.92,1.76,1.34,1.13,2.89,1.83,-0.1817345838594364
"FW,MF",Premier League,29.0,30,21,1915,7,19637543.0,0.3,2.43,0.17,3.82,32.69,0.738,3.47,5.47,2.04,7.77,10.98,1.0,0.56,0.61,0.39,0.13,-0.1817345838594364
DF,Bundesliga,29.0,17,11,1033,0,4500000.0,0.0,1.26,0.0,2.16,70.65,0.825,5.47,1.38,1.08,1.5,4.93,3.3,1.44,2.4,2.94,1.32,-0.1817345838594364
"MF,DF",La Liga,23.0,17,5,696,0,200000.0,0.0,1.04,0.19,2.46,51.47,0.82,5.19,1.89,1.04,1.32,6.14,1.79,0.76,1.13,0.85,0.76,-0.1817345838594364
"FW,MF",Ligue 1,25.0,252,132,1392,61,12730000.0,0.4,1.9,0.27,3.05,23.4,0.699,2.83,2.7,1.95,5.66,8.0,0.71,0.22,0.49,0.75,1.37,-0.1817345838594364
"FW,MF",La Liga,26.0,16,3,572,1,230000.0,0.0,2.07,0.1,2.59,27.55,0.722,1.86,2.07,1.24,5.07,6.01,1.66,0.41,1.04,1.55,3.11,0.4216341450330366
MF,Bundesliga,30.0,20,18,1343,0,850000.0,0.05,0.35,0.0,0.79,32.12,0.753,2.23,0.4,0.25,0.5,1.09,2.13,1.19,0.89,2.08,1.34,-0.1817345838594364
DF,Serie A,24.0,36,35,2976,1,2220000.0,0.03,0.9,0.18,2.72,46.35,0.778,2.9,4.1,1.26,1.83,5.86,1.14,0.48,0.6,0.96,0.9,-0.1817345838594364
"MF,DF",Bundesliga,30.0,20,13,1191,3,8000000.0,0.21,1.55,0.1,3.71,73.98,0.854,7.37,2.94,0.82,3.04,6.85,1.34,1.08,0.52,0.67,0.21,-0.1817345838594364
DF,Premier League,31.0,21,16,1353,1,20543891.0,0.05,0.39,0.0,0.92,53.94,0.889,3.81,0.96,0.14,0.58,0.14,1.11,0.92,1.4,5.06,1.59,-0.1817345838594364
"FW,MF",La Liga,27.0,27,16,1307,6,12500000.0,0.36,4.06,0.55,5.33,44.43,0.738,3.28,3.74,1.69,5.65,10.98,1.14,0.64,1.23,0.64,0.5,0.4216341450330366
FW,Premier League,21.0,29,25,2127,9,5135973.0,0.5,1.85,0.06,2.16,15.97,0.741,1.1,1.44,0.69,4.14,5.05,0.31,0.06,0.38,0.6,1.16,-0.1817345838594364
DF,Serie A,26.0,28,19,1743,1,2560000.0,0.05,0.47,0.05,1.78,52.75,0.776,2.67,0.8,0.33,1.87,5.52,1.97,0.51,1.36,2.53,1.59,-0.1817345838594364
DF,Ligue 1,27.0,32,32,2835,2,550000.0,0.05,0.65,0.0,0.46,50.43,0.844,2.65,0.14,0.14,1.35,0.31,1.42,1.37,1.49,5.2,3.52,-0.1817345838594364
"FW,MF",Ligue 1,22.0,19,6,526,0,330000.0,0.0,1.03,0.0,1.2,45.0,0.795,4.28,1.2,1.37,0.34,2.74,4.28,0.68,0.34,0.86,0.86,-0.1817345838594364
"MF,DF",Premier League,22.0,32,28,2252,2,604232.0,0.08,0.94,0.04,2.47,46.23,0.848,3.76,2.47,2.43,1.88,3.72,2.63,0.59,1.18,1.37,0.86,-0.1817345838594364
"FW,MF",Ligue 1,20.0,32,18,1651,1,3600000.0,0.09,3.07,0.33,5.67,56.05,0.784,7.13,4.96,4.01,6.14,9.73,1.27,0.33,0.61,0.09,0.05,-0.1817345838594364
DF,La Liga,38.0,25,24,1986,0,2840000.0,0.0,0.3,0.04,0.21,57.08,0.861,2.71,0.34,0.0,0.63,0.0,1.06,0.68,1.35,4.7,2.07,-0.1817345838594364
"FW,MF",La Liga,37.0,18,0,294,0,2080000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Premier League,33.0,23,17,1306,5,6042321.0,0.32,2.45,0.0,1.74,23.66,0.673,1.29,0.64,0.58,4.06,5.09,1.16,0.19,0.64,0.77,2.9,-0.1817345838594364
DF,La Liga,22.0,15,12,1107,0,290000.0,0.0,0.24,0.0,0.49,56.75,0.799,2.44,0.33,0.0,0.65,0.16,2.11,0.81,1.22,4.63,1.63,-0.1817345838594364
FW,La Liga,29.0,24,15,1249,1,3100000.0,0.12,3.22,0.12,1.64,18.61,0.755,1.58,0.85,1.34,4.32,5.35,0.55,0.06,0.3,0.55,1.52,0.4216341450330366
"FW,MF",Ligue 1,22.0,28,14,1338,1,700000.0,0.07,1.55,0.2,3.03,25.56,0.739,2.62,2.35,1.75,2.62,7.26,1.01,0.2,0.54,0.87,0.07,-0.1817345838594364
DF,Premier League,27.0,22,20,1660,0,755290.0,0.0,0.7,0.22,1.14,38.98,0.761,3.63,0.6,0.22,1.08,0.76,2.01,0.98,1.36,4.23,2.49,-0.1817345838594364
DF,Premier League,24.0,10,5,419,0,15105802.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Serie A,22.0,20,13,1048,2,600000.0,0.23,1.08,0.23,2.92,33.62,0.803,3.15,1.15,0.77,2.85,3.85,1.69,0.85,1.85,0.46,0.92,-0.1817345838594364
DF,La Liga,30.0,14,7,693,1,800000.0,0.13,0.5,0.13,1.38,51.28,0.85,4.4,1.38,1.01,0.63,1.89,3.9,2.01,1.51,2.89,1.51,-0.1817345838594364
FW,Premier League,24.0,15,1,268,0,6042321.0,0.0,2.08,0.38,4.73,47.27,0.912,3.21,2.84,1.51,4.73,8.7,2.84,0.38,1.32,1.13,0.38,-0.1817345838594364
"FW,MF",Serie A,27.0,30,21,1805,3,640000.0,0.18,1.78,0.09,4.45,39.44,0.624,4.23,1.07,0.27,1.38,4.01,1.2,1.07,0.71,1.11,0.58,-0.1817345838594364
MF,Serie A,32.0,31,29,2549,1,1850000.0,0.04,0.46,0.04,1.91,64.3,0.903,5.54,1.27,0.28,1.13,1.69,2.54,1.24,1.27,1.87,0.67,-0.1817345838594364
DF,Ligue 1,26.0,14,14,1235,0,3600000.0,0.0,0.35,0.0,1.72,49.98,0.759,2.93,1.47,0.2,1.06,4.85,1.77,1.26,0.56,2.27,0.45,-0.1817345838594364
MF,Serie A,26.0,7,1,146,1,4620000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",La Liga,28.0,19,14,1266,0,400000.0,0.0,1.29,0.0,1.78,46.38,0.757,4.06,0.55,1.72,0.86,0.8,2.95,1.23,2.21,3.08,2.77,-0.1817345838594364
"FW,MF",Premier League,24.0,12,3,317,0,2114812.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,25.0,5,2,110,0,241693.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,La Liga,24.0,31,24,2222,3,250000.0,0.12,0.57,0.0,1.62,43.58,0.753,3.32,1.9,0.73,1.54,4.21,1.09,0.53,1.17,2.55,0.77,-0.1817345838594364
DF,Serie A,31.0,35,34,2772,1,2780000.0,0.0,0.37,0.03,1.54,54.16,0.831,3.92,2.0,0.28,0.34,1.3,1.42,0.83,0.65,2.0,1.23,-0.1817345838594364
DF,Serie A,22.0,29,25,2275,0,740000.0,0.0,0.59,0.2,1.78,69.15,0.892,3.76,1.11,0.44,0.83,0.83,1.78,1.94,1.46,2.93,2.37,-0.1817345838594364
DF,Serie A,26.0,13,13,1148,0,1300000.0,0.0,0.62,0.31,1.08,43.34,0.758,2.78,0.46,0.23,1.24,3.01,0.54,0.62,0.77,2.7,0.7,-0.1817345838594364
"FW,MF",Serie A,27.0,31,18,1711,10,3700000.0,0.44,3.08,0.15,4.35,36.94,0.669,3.52,2.59,1.61,4.06,8.89,1.12,0.39,1.12,0.98,0.78,1.317032250646508
"FW,MF",Serie A,32.0,12,3,342,0,1850000.0,0.19,1.3,0.19,1.86,32.54,0.714,3.91,3.16,1.3,3.16,8.93,0.56,0.19,0.93,0.56,0.37,-0.1817345838594364
FW,Serie A,24.0,22,13,1103,2,1110000.0,0.15,2.67,0.23,3.51,33.39,0.787,2.6,5.2,1.6,4.97,11.08,0.76,0.15,0.99,0.15,0.53,-0.1817345838594364
FW,Premier League,27.0,28,18,1491,11,5438089.0,0.65,3.96,0.24,2.25,24.01,0.677,2.25,1.71,0.71,7.63,6.56,0.95,0.47,1.89,1.36,1.83,-0.1817345838594364
DF,Serie A,29.0,18,14,1191,0,4070000.0,0.0,0.54,0.11,1.72,52.35,0.82,2.8,0.7,0.16,1.51,4.96,1.56,0.86,0.86,1.35,0.32,-0.1817345838594364
DF,Premier League,26.0,5,5,401,0,2114812.0,0.0,0.46,0.15,2.48,39.35,0.803,3.87,3.1,1.24,1.08,2.17,1.39,1.08,1.7,1.86,0.93,-0.1817345838594364
DF,Serie A,30.0,16,7,773,0,3210000.0,0.0,0.47,0.12,0.82,25.73,0.729,1.51,1.51,0.35,2.1,4.89,0.82,0.7,0.35,1.28,1.16,-0.1817345838594364
