Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Timo Werner,GER,FW,Premier League,28,21,12,1016,4,3,1,1
Timothy Castagne,BEL,DF,Premier League,28,34,29,2634,1,3,0,0
Timothy Chandler,USA,"MF,DF",Bundesliga,34,6,0,18,0,1,0,0
Timothy Weah,USA,"DF,FW",Serie A,24,28,11,1123,0,1,0,0
Tino Kadewere,ZIM,"FW,MF",Ligue 1,28,25,10,1077,1,0,0,1
Tobias Kempe,GER,MF,Bundesliga,34,24,15,1350,3,2,3,3
Tom Bischof,GER,"FW,MF",Bundesliga,18,13,1,178,0,2,0,0
Tom Cairney,SCO,MF,Premier League,33,34,14,1488,1,4,0,0
Tom Davies,ENG,MF,Premier League,25,9,2,221,0,0,0,0
Tom Krauß,GER,MF,Bundesliga,22,29,13,1346,1,2,0,0
Tom Lockyer,WAL,DF,Premier League,29,14,14,1169,1,1,0,0
Tom Louchet,FRA,"MF,DF",Ligue 1,21,13,3,409,1,1,0,0
Toma Bašić,CRO,MF,Serie A,27,14,13,1072,0,0,0,0
Tommaso Augello,ITA,DF,Serie A,29,31,27,2328,1,1,0,0
Tommaso Baldanzi,ITA,"FW,MF",Serie A,21,27,14,1263,2,0,0,0
Tommaso Corazza,ITA,DF,Serie A,19,8,1,190,0,0,0,0
Tommaso Pobega,ITA,MF,Serie A,24,11,3,319,0,0,0,0
Tommy Doyle,ENG,MF,Premier League,22,26,11,1222,0,0,0,0
Tomás Mendes,ESP,MF,La Liga,19,1,0,6,0,0,0,0
Tomáš Koubek,CZE,GK,Bundesliga,31,3,3,270,0,0,0,0
Tomáš Souček,CZE,MF,Premier League,29,37,34,2870,7,2,0,0
Tomáš Suslov,SVK,"FW,MF",Serie A,21,30,21,1930,1,4,1,1
Tomáš Čvančara,CZE,FW,Bundesliga,23,21,7,896,4,1,1,2
Toni Kroos,GER,MF,La Liga,34,32,23,2038,1,8,0,0
Toni Lato,ESP,DF,La Liga,26,28,16,1544,0,1,0,0
Toni Villa,ESP,FW,La Liga,29,2,0,13,0,0,0,0
Tony Jantschke,GER,"MF,DF",Bundesliga,34,4,0,27,0,0,0,0
Tosin Adarabioyo,ENG,DF,Premier League,26,20,18,1617,2,0,0,0
Tosin Aiyegun,BEN,"FW,MF",Ligue 1,25,19,10,902,2,0,0,0
Toti Gomes,POR,DF,Premier League,25,35,31,2772,1,3,0,0
Trent Alexander-Arnold,ENG,DF,Premier League,25,28,25,2155,3,4,0,0
Trevoh Chalobah,ENG,DF,Premier League,24,13,10,952,1,0,0,0
Triantafyllos Pasaridīs,GRE,DF,Serie A,27,7,4,362,0,0,0,0
Trivante Stewart,JAM,"FW,MF",Serie A,24,4,0,100,0,0,0,0
Trévis Dago,CIV,"FW,MF",Ligue 1,19,4,0,23,0,1,0,0
Tuta,BRA,DF,Bundesliga,24,30,30,2600,1,2,0,0
Tyler Adams,USA,MF,Premier League,25,3,1,121,0,0,0,0
Tyler Onyango,ENG,MF,Premier League,21,1,0,1,0,0,0,0
Tyrick Mitchell,ENG,"MF,DF",Premier League,24,37,37,3204,2,3,0,0
Tyrone Mings,ENG,DF,Premier League,31,1,1,30,0,0,0,0
Tyronne Ebuehi,NGA,DF,Serie A,28,15,11,1099,0,1,0,0
Téji Savanier,FRA,MF,Ligue 1,32,32,32,2765,9,6,7,7
Ulisses Garcia,SUI,DF,Ligue 1,28,13,10,906,0,0,0,0
Umar Sadiq,NGA,FW,La Liga,27,26,12,1077,3,1,0,0
Umut Tohumcu,GER,MF,Bundesliga,19,20,12,1011,0,2,0,0
Unai García,ESP,DF,La Liga,32,8,6,548,1,0,0,0
Unai Gómez,ESP,MF,La Liga,20,24,9,830,2,0,0,0
