Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted,,,,,,,,,
Alisson,BRA,GK,Premier League,31,27,27,"2,430",0,0,0,0,,,,,,,,,
Aljoscha Kemlein,GER,MF,Bundesliga,19,2,0,29,0,0,0,0,,,,,,,,,
Alois Confais,FRA,FW,Ligue 1,27,1,0,1,0,0,0,0,,,,,,,,,
Alphonse Areola,FRA,GK,Premier League,31,30,30,"2,609",0,0,0,0,,,,,,,,,
Alphonso Davies,CAN,DF,Bundesliga,23,29,24,"2,065",2,5,0,0,,,,,,,,,
Amad Diallo,CIV,"FW,MF",Premier League,21,8,2,316,1,1,0,0,,,,,,,,,
Amadou Diallo,ENG,MF,Premier League,21,1,0,1,0,0,0,0,,,,,,,,,
Amadou Haidara,MLI,MF,Bundesliga,26,21,19,"1,526",2,1,0,0,,,,,,,,,
Amadou Koné,MLI,MF,Ligue 1,19,15,3,385,0,0,0,0,,,,,,,,,
Amadou Onana,BEL,MF,Premier League,22,29,22,"2,001",2,0,0,0,,,,,,,,,
Amari'i Bell,JAM,DF,Premier League,30,21,21,"1,720",0,0,0,0,,,,,,,,,
Amath,SEN,"FW,MF",La Liga,27,15,3,394,0,0,0,0,,,,,,,,,
Ameen Al-Dakhil,BEL,DF,Premier League,22,13,12,"1,056",1,0,0,0,,,,,,,,,
Amine Adli,MAR,"MF,FW",Bundesliga,24,23,8,898,4,6,0,0,,,,,,,,,
Amine Gouiri,ALG,"FW,MF",Ligue 1,24,30,23,"2,007",7,3,0,0,,,,,,,,,
Amine Harit,MAR,"MF,FW",Ligue 1,26,28,21,"1,821",1,2,0,0,,,,,,,,,
Amine Salama,FRA,FW,Ligue 1,23,11,2,313,0,0,0,0,,,,,,,,,
Amir Richardson,MAR,MF,Ligue 1,22,27,14,"1,322",3,1,0,0,,,,,,,,,
Amir Rrahmani,KVX,DF,Serie A,30,30,30,"2,600",3,0,0,0,,,,,,,,,
Amos Pieper,GER,DF,Bundesliga,26,7,7,590,0,0,0,0,,,,,,,,,
Anass Zaroury,MAR,"FW,MF",Premier League,23,6,1,152,0,0,0,0,,,,,,,,,
Anastasios Douvikas,GRE,FW,La Liga,24,30,6,816,6,1,0,0,,,,,,,,,
Ander Barrenetxea,ESP,"FW,MF",La Liga,22,27,19,"1,345",4,1,0,0,,,,,,,,,
Ander Guevara,ESP,MF,La Liga,26,36,32,"2,842",1,0,0,0,,,,,,,,,
Ander Herrera,ESP,MF,La Liga,34,22,10,"1,014",0,3,0,0,,,,,,,,,
Andoni Gorosabel,ESP,DF,La Liga,27,35,33,"2,853",1,0,0,0,,,,,,,,,
András Schäfer,HUN,MF,Bundesliga,25,20,14,"1,214",1,2,0,0,,,,,,,,,
André Ayew,GHA,FW,Ligue 1,34,18,11,"1,014",5,0,0,0,,,,,,,,,
André Ferreira,POR,GK,La Liga,27,15,14,"1,340",0,0,0,0,,,,,,,,,
André Gomes,POR,"MF,FW",Premier League,30,12,3,508,1,0,0,0,,,,,,,,,
André Onana,CMR,GK,Premier League,28,37,37,"3,330",0,0,0,0,,,,,,,,,
André Silva,POR,FW,La Liga,28,18,9,720,3,0,1,1,,,,,,,,,
Andrés Guardado,MEX,MF,La Liga,37,12,4,447,0,0,0,0,,,,,,,,,
Andre Brooks,ENG,"MF,DF",Premier League,20,19,12,909,0,0,0,0,,,,,,,,,
Andrea Cambiaso,ITA,"DF,FW",Serie A,24,33,27,"2,327",2,3,0,0,,,,,,,,,
Andrea Carboni,ITA,DF,Serie A,23,21,16,"1,487",1,0,0,0,,,,,,,,,
Andrea Colpani,ITA,"MF,FW",Serie A,25,36,34,"2,522",8,4,0,0,,,,,,,,,
Andrea Consigli,ITA,GK,Serie A,37,34,34,"3,060",0,0,0,0,,,,,,,,,
Andrea Petagna,ITA,FW,Serie A,28,18,13,995,1,1,0,0,,,,,,,,,
Andrea Pinamonti,ITA,FW,Serie A,25,36,36,"2,978",11,1,2,3,,,,,,,,,
Andrea Sodero,ITA,MF,Serie A,19,1,0,5,0,0,0,0,,,,,,,,,
Andreas Christensen,DEN,"DF,MF",La Liga,28,28,26,"1,889",2,2,0,0,,,,,,,,,
