position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
DF,Bundesliga,26.0,2,0,1500000.0,0.06,0.41,0.63,51.43,0.814,3.17,0.78,0.19,1.66,0.19,1.07,1.38,1.32,5.4,3.42,,,,,,,,,,,,-0.3573753679181039,2.465829669899411
MF,Serie A,25.0,2,0,450000.0,0.34,1.38,1.55,27.36,0.799,2.93,1.2,0.34,1.03,2.41,0.86,1.38,1.2,2.75,0.52,,,,,,,,,,,,-0.3573753679181039,-1.71696071317775
MF,La Liga,24.0,4,5,2500000.0,0.2,1.81,3.67,35.81,0.805,5.6,3.34,1.29,3.55,6.81,0.89,0.44,0.2,0.28,1.05,,,,,,,,,,,,0.42999629847979226,1.2583851616361885
DF,Premier League,27.0,1,1,2416928.0,0.05,0.61,1.99,43.34,0.749,3.68,2.81,1.43,0.72,2.04,2.5,1.02,1.02,2.61,0.82,,,,,,,,,,,,-0.3573753679181039,0.36432052104541485
MF,La Liga,23.0,0,0,300000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.9786659807380842
MF,Bundesliga,23.0,0,0,250000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.8757800530817095
DF,Premier League,27.0,1,2,9063481.0,0.05,0.82,2.97,81.45,0.88,11.39,2.2,0.32,1.33,2.84,2.56,1.1,0.96,1.28,1.28,,,,,,,,,,,,-0.3573753679181039,0.6593974054975345
GK,Bundesliga,33.0,0,1,3500000.0,,,,,0.0,,,,,,,,,,,1.91,6.96,6.0,0.57,44.43,3.37,7.6,45.8,0.55,2.0,16.1,-0.3573753679181039,2.664586800884391
FW,Bundesliga,27.0,0,0,1020000.0,0.0,0.72,1.88,28.51,0.665,2.15,1.52,0.72,2.06,6.61,1.07,0.63,0.36,0.98,3.22,,,,,,,,,,,,-0.3573753679181039,-2.9450937423444277
GK,Serie A,25.0,0,0,640000.0,,,,,0.0,,,,,,,,,,,2.0,6.52,0.0,0.0,46.2,3.47,5.8,41.4,0.24,1.8,19.5,-0.3573753679181039,-2.3519696794605087
FW,Premier League,27.0,6,3,1510580.0,0.28,2.18,2.04,28.69,0.593,2.11,0.42,0.42,5.2,4.22,1.2,0.35,1.27,1.97,7.73,,,,,,,,,,,,2.997373388585333,-0.22669969479128235
MF,Premier League,33.0,1,0,1208464.0,0.0,0.88,2.0,56.94,0.696,4.56,0.19,0.06,0.38,0.63,2.56,1.31,1.5,2.44,0.88,,,,,,,,,,,,1.3199990103336146,0.2613415199364021
"MF,DF",Premier League,23.0,0,0,2416928.0,0.0,0.31,1.86,48.98,0.903,4.24,0.83,0.41,1.24,2.79,2.27,0.72,1.45,1.24,0.41,,,,,,,,,,,,-0.3573753679181039,-1.136878331622689
DF,Bundesliga,24.0,2,1,750000.0,0.13,1.13,2.25,47.95,0.744,2.65,1.72,0.66,1.85,3.44,1.85,0.86,1.59,3.05,0.99,,,,,,,,,,,,-0.3573753679181039,0.2151011351931756
FW,Serie A,37.0,14,8,4490000.0,0.38,2.5,1.74,18.61,0.682,1.03,0.35,0.15,4.36,3.5,0.53,0.18,0.48,1.06,2.32,,,,,,,,,,,,7.139493811486665,1.7829412007127536
FW,Premier League,28.0,19,13,7855017.0,0.54,2.9,2.9,16.78,0.752,1.54,1.68,0.7,5.93,6.01,0.41,0.16,0.7,0.6,1.43,,,,,,,,,,,,-0.3573753679181039,3.0935106177895557
DF,La Liga,27.0,0,1,1200000.0,0.04,0.99,1.22,41.76,0.636,3.96,1.03,0.46,1.37,0.34,1.11,0.65,1.22,4.5,2.21,,,,,,,,,,,,-0.3573753679181039,1.2337848846613502
"FW,MF",Bundesliga,25.0,12,6,1600000.0,0.4,3.07,2.99,22.87,0.707,2.38,3.39,1.49,6.17,6.58,0.85,0.4,0.48,0.28,1.09,,,,,,,,,,,,2.997373388585333,1.521333831470589
MF,La Liga,31.0,0,0,820000.0,0.0,0.36,0.84,44.19,0.817,3.77,0.72,0.42,0.42,0.6,1.91,1.73,1.44,1.79,1.73,,,,,,,,,,,,-0.3573753679181039,0.4955699922464627
"FW,MF",La Liga,30.0,0,0,360000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.6381604446778915
MF,Serie A,29.0,1,4,1100000.0,0.04,0.87,3.42,43.9,0.75,4.26,1.29,0.76,0.72,1.79,2.21,0.99,0.99,0.8,0.23,,,,,,,,,,,,0.42999629847979226,1.7276147774845236
MF,Premier League,26.0,3,0,1812696.0,0.13,0.64,1.37,36.1,0.869,3.17,0.9,0.64,0.69,1.46,1.5,1.5,0.73,1.76,0.69,,,,,,,,,,,,-0.3573753679181039,1.0307930538090777
MF,La Liga,32.0,0,1,3500000.0,0.0,0.72,1.8,70.39,0.895,5.78,0.9,0.48,0.54,0.6,2.53,0.84,1.08,1.26,1.2,,,,,,,,,,,,-0.3573753679181039,-0.36270448583724774
"FW,MF",Ligue 1,20.0,1,1,500000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7719094788127663
FW,Ligue 1,27.0,0,0,1200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.3060271122857188
"MF,DF",Ligue 1,33.0,0,0,320000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.8343478224353293
MF,Serie A,22.0,2,2,580000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.6373487115427383
MF,Ligue 1,22.0,0,0,270000.0,0.0,0.58,2.12,60.64,0.851,6.45,2.31,0.48,0.29,1.44,2.12,1.64,0.87,1.35,0.58,,,,,,,,,,,,-0.3573753679181039,-0.9393147139800018
DF,Bundesliga,24.0,4,0,3150000.0,0.15,0.69,0.81,52.91,0.848,4.12,0.77,0.31,1.04,0.38,1.81,1.81,1.65,4.39,2.58,,,,,,,,,,,,-0.3573753679181039,1.5080881082775397
"FW,MF",La Liga,28.0,3,2,3120000.0,0.18,1.43,3.6,50.82,0.757,7.16,2.54,0.83,3.47,6.84,1.52,1.62,1.16,0.83,0.74,,,,,,,,,,,,-0.3573753679181039,0.6213244803065309
"MF,DF",Serie A,27.0,0,0,450000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9034567675822496
MF,La Liga,25.0,1,2,180000.0,0.08,2.32,2.24,35.97,0.751,4.88,2.16,0.64,3.6,4.08,1.68,0.72,2.0,1.44,2.64,,,,,,,,,,,,-0.3573753679181039,0.03921738947742102
DF,La Liga,26.0,0,2,980000.0,0.0,0.5,1.71,35.29,0.629,2.16,2.06,1.11,1.26,3.83,2.21,0.65,0.7,1.66,1.96,,,,,,,,,,,,-0.3573753679181039,-0.01994801773149569
DF,Serie A,30.0,0,0,2050000.0,0.0,0.27,0.67,59.56,0.907,2.13,0.07,0.17,0.57,0.07,1.5,1.4,1.3,3.96,1.43,,,,,,,,,,,,-0.3573753679181039,1.9943983086856847
"MF,DF",Ligue 1,27.0,0,0,390000.0,0.0,0.77,1.88,51.66,0.888,4.23,0.85,0.6,1.02,1.32,1.75,1.28,1.2,1.75,1.45,,,,,,,,,,,,-0.3573753679181039,1.0637209454278604
"FW,MF",Premier League,32.0,4,7,5438089.0,0.1,2.28,4.42,49.76,0.7,5.66,2.18,0.84,2.83,7.19,1.04,0.55,0.94,0.5,0.35,,,,,,,,,,,,2.997373388585333,0.8396617587851481
DF,Serie A,27.0,0,0,960000.0,0.0,0.42,0.53,42.58,0.81,3.57,0.32,0.11,0.84,0.74,2.31,1.37,1.47,3.15,0.53,,,,,,,,,,,,-0.3573753679181039,-1.0491071156633065
"MF,DF",Ligue 1,25.0,1,0,1500000.0,0.1,1.01,1.71,52.91,0.817,5.24,0.81,0.3,0.81,1.71,3.73,1.41,1.81,1.21,1.51,,,,,,,,,,,,-0.3573753679181039,-1.2139198777785531
MF,Premier League,21.0,3,3,4229625.0,0.13,1.6,2.4,58.58,0.874,6.57,1.91,0.89,1.95,3.95,1.51,1.38,0.93,1.24,1.02,,,,,,,,,,,,-0.3573753679181039,1.6477758508263964
"FW,MF",Serie A,36.0,0,0,1920000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.884147431884198
"MF,DF",Premier League,32.0,4,10,3927509.0,0.11,1.41,4.83,88.21,0.86,8.05,2.27,0.46,2.05,4.98,1.92,0.46,1.12,0.84,0.37,,,,,,,,,,,,1.3199990103336146,2.8096506246425106
DF,Bundesliga,28.0,0,5,940000.0,0.0,1.22,3.13,70.09,0.864,7.3,2.87,0.52,0.35,3.91,1.57,1.22,1.91,2.26,0.78,,,,,,,,,,,,-0.3573753679181039,-0.3095569248154854
DF,Serie A,28.0,0,2,1850000.0,0.0,0.65,1.79,48.26,0.76,3.03,2.58,1.69,1.14,4.57,1.69,0.3,0.84,2.09,0.84,,,,,,,,,,,,-0.3573753679181039,0.6413753588460201
MF,La Liga,30.0,1,0,340000.0,0.06,1.14,1.54,48.47,0.832,4.61,0.74,0.91,1.42,1.2,2.28,1.65,1.37,3.08,2.56,,,,,,,,,,,,-0.3573753679181039,0.47049898422577197
DF,Serie A,31.0,2,0,2220000.0,0.09,0.36,0.64,70.48,0.881,4.23,0.27,0.05,0.46,0.59,0.77,0.55,0.82,2.82,0.64,,,,,,,,,,,,-0.3573753679181039,0.14581032908938132
DF,Bundesliga,24.0,0,1,600000.0,0.0,1.94,1.23,47.03,0.723,3.35,0.18,0.0,3.35,0.7,1.94,1.94,1.76,3.7,3.52,,,,,,,,,,,,-0.3573753679181039,-1.8687047881912893
"MF,DF",Serie A,29.0,0,1,1480000.0,0.05,1.74,2.9,47.78,0.789,3.97,2.37,0.58,1.84,5.33,1.55,0.53,1.07,1.45,0.44,,,,,,,,,,,,-0.3573753679181039,0.19554387085846187
"DF,FW",Bundesliga,33.0,0,0,1700000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.5242623698322397
DF,Bundesliga,29.0,2,0,750000.0,0.06,0.88,0.79,45.7,0.83,3.67,1.0,0.3,1.33,0.15,2.58,1.45,1.88,4.61,3.48,,,,,,,,,,,,-0.3573753679181039,2.664586800884391
MF,Bundesliga,24.0,2,1,520000.0,0.1,1.07,2.38,40.11,0.789,3.21,1.26,0.83,1.41,3.11,1.75,1.31,1.9,1.65,1.26,,,,,,,,,,,,-0.3573753679181039,0.6375404974792596
"FW,MF",Bundesliga,22.0,2,0,2000000.0,0.27,1.6,2.8,31.95,0.625,2.53,1.46,1.33,3.59,7.06,1.86,0.67,2.0,1.2,1.86,,,,,,,,,,,,-0.3573753679181039,-1.4364918561244628
FW,Bundesliga,28.0,7,0,6000000.0,0.74,3.66,2.91,19.98,0.8,1.56,0.88,0.68,7.99,6.91,0.68,0.07,0.34,0.61,2.37,,,,,,,,,,,,1.3199990103336146,-0.5839351635909215
GK,Ligue 1,29.0,0,0,3850000.0,,,,,0.0,,,,,,,,,,,1.36,6.86,0.0,2.17,39.76,2.83,4.79,41.8,0.47,0.7,13.2,-0.3573753679181039,2.4774152713182414
DF,Premier League,27.0,2,0,6042321.0,0.07,0.43,0.79,65.18,0.872,4.51,1.51,0.66,0.89,0.63,1.02,0.46,0.99,2.9,0.95,,,,,,,,,,,,-0.3573753679181039,1.6262478887633331
MF,Ligue 1,26.0,0,0,750000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.0377833785606043
DF,Premier League,32.0,0,0,2114812.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7322034376203934
DF,Bundesliga,25.0,0,0,420000.0,0.0,0.0,0.56,46.78,0.864,4.68,0.75,0.75,0.37,0.56,1.87,2.06,1.5,2.99,1.68,,,,,,,,,,,,-0.3573753679181039,-2.4310359348904225
MF,Serie A,31.0,0,0,42000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.8757800530817095
"MF,DF",Serie A,29.0,0,0,930000.0,0.0,1.99,2.37,46.14,0.661,3.32,4.45,1.23,1.8,3.98,1.8,1.52,1.04,2.18,1.23,,,,,,,,,,,,-0.3573753679181039,-0.5433105434657679
"FW,MF",Serie A,30.0,13,9,7040000.0,0.31,2.45,4.18,44.55,0.801,5.5,3.53,1.24,3.63,7.67,0.86,0.21,0.59,0.28,0.24,,,,,,,,,,,,11.384245279843924,0.9724922139872423
GK,La Liga,32.0,0,0,1240000.0,,,,,0.0,,,,,,,,,,,1.3,7.42,2.0,2.75,39.1,2.5,6.6,43.8,0.76,0.93,13.7,-0.3573753679181039,3.166242448918881
GK,Bundesliga,36.0,0,0,1200000.0,,,,,0.0,,,,,,,,,,,1.89,5.28,,2.22,34.89,3.35,4.11,39.6,0.08,0.33,12.1,-0.3573753679181039,-1.5158769327363588
"DF,FW",Bundesliga,32.0,3,4,2000000.0,0.12,0.7,2.33,47.75,0.695,3.29,1.47,0.08,2.29,5.7,1.09,0.89,0.85,2.64,2.4,,,,,,,,,,,,-0.3573753679181039,1.6469154060532412
DF,Serie A,29.0,0,0,380000.0,0.0,0.39,0.48,50.2,0.829,3.84,0.48,0.17,0.57,0.22,2.36,1.05,0.74,4.72,2.84,,,,,,,,,,,,-0.3573753679181039,1.0889918726988168
MF,Bundesliga,20.0,0,1,240000.0,0.27,2.66,3.25,31.75,0.803,3.39,2.86,0.66,4.32,5.18,2.72,0.46,1.39,0.66,0.73,,,,,,,,,,,,-0.3573753679181039,-2.5156241792341647
"FW,MF",Serie A,36.0,1,1,2820000.0,0.15,1.38,2.84,46.15,0.839,3.37,3.3,1.61,2.91,7.97,1.84,0.23,1.46,0.15,0.23,,,,,,,,,,,,-0.3573753679181039,-0.46067611585075413
MF,Ligue 1,26.0,1,1,720000.0,0.03,0.56,2.34,59.09,0.859,6.59,0.33,0.2,0.89,1.81,1.88,1.02,0.79,0.96,0.43,,,,,,,,,,,,-0.3573753679181039,2.091930336040115
"FW,MF",Premier League,24.0,2,9,3021160.0,0.12,2.1,4.43,42.75,0.745,3.23,5.81,2.22,4.97,8.86,0.42,0.24,0.3,0.12,0.24,,,,,,,,,,,,-0.3573753679181039,0.03245800044882826
MF,Serie A,32.0,0,0,1090000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.184578216638263
DF,Serie A,26.0,0,2,380000.0,0.0,0.36,2.62,54.52,0.79,4.52,2.14,0.48,1.43,7.74,1.55,0.48,1.79,2.02,0.48,,,,,,,,,,,,-0.3573753679181039,-0.8800514084529152
DF,Premier League,24.0,3,7,5135973.0,0.09,1.62,3.15,68.56,0.758,5.45,1.67,0.75,2.08,4.79,2.68,0.98,1.93,2.91,0.43,,,,,,,,,,,,-0.3573753679181039,2.7925430343098503
"MF,DF",La Liga,26.0,1,1,350000.0,0.07,0.96,3.31,59.14,0.764,5.51,2.06,0.88,1.1,6.47,1.69,0.51,1.32,2.2,0.96,,,,,,,,,,,,-0.3573753679181039,-0.5739076630142137
GK,La Liga,41.0,0,0,1500000.0,,,,,0.0,,,,,,,,,,,1.36,6.82,5.0,2.73,40.64,2.55,4.73,36.5,0.63,0.45,12.7,-0.3573753679181039,-2.853625327494999
"FW,MF",Serie A,27.0,0,0,370000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.2059163842242886
DF,Serie A,24.0,1,0,1790000.0,0.09,0.8,0.44,45.09,0.884,1.95,0.89,0.35,0.89,0.35,2.04,0.97,1.33,2.83,1.77,,,,,,,,,,,,-0.3573753679181039,-1.5416227136670937
"MF,DF",La Liga,25.0,0,0,440000.0,0.2,0.4,1.39,59.14,0.785,5.56,0.79,0.0,1.19,1.59,2.58,2.28,1.29,4.47,4.47,,,,,,,,,,,,-0.3573753679181039,-2.904100412105518
DF,Premier League,26.0,2,3,3021160.0,0.1,0.93,3.01,67.09,0.834,6.01,3.32,0.73,2.49,5.96,1.87,1.09,0.88,1.56,0.88,,,,,,,,,,,,-0.3573753679181039,-0.3608215616538394
MF,Premier League,27.0,2,2,2719044.0,0.12,1.78,2.82,36.34,0.762,3.38,1.29,0.86,3.81,3.99,2.15,1.23,1.78,1.78,2.33,,,,,,,,,,,,-0.3573753679181039,0.1822043719611686
"FW,MF",Bundesliga,29.0,0,0,600000.0,0.18,1.59,4.6,44.91,0.76,5.13,1.59,0.35,2.12,4.07,2.12,1.41,0.53,0.53,0.53,,,,,,,,,,,,-0.3573753679181039,-1.8936340111213394
FW,Bundesliga,31.0,4,2,780000.0,0.22,2.07,2.78,24.53,0.62,2.13,0.27,0.49,4.91,4.85,0.6,0.22,0.55,1.36,6.54,,,,,,,,,,,,-0.3573753679181039,0.5642400369859121
GK,Ligue 1,26.0,0,0,1100000.0,,,,,0.0,,,,,,,,,,,1.45,7.22,1.67,2.27,32.09,3.25,5.91,43.5,0.78,0.86,11.3,-0.3573753679181039,0.657964208746431
DF,Bundesliga,27.0,1,0,680000.0,0.05,0.59,0.88,69.54,0.845,3.47,0.98,0.0,0.73,0.2,1.03,0.88,1.17,3.47,2.35,,,,,,,,,,,,-0.3573753679181039,-0.6214124536450535
DF,Bundesliga,30.0,1,2,1990000.0,0.06,0.52,2.32,59.87,0.827,4.32,1.68,0.45,1.29,3.87,1.74,0.52,1.16,1.29,0.77,,,,,,,,,,,,-0.3573753679181039,0.03693650633885725
FW,Bundesliga,26.0,8,4,750000.0,0.31,2.03,2.03,19.84,0.621,1.79,0.7,0.47,4.72,4.33,0.86,0.23,0.66,1.36,4.05,,,,,,,,,,,,-0.3573753679181039,2.065784716608848
DF,Bundesliga,30.0,1,2,900000.0,0.05,1.04,2.5,42.92,0.701,3.31,2.31,0.66,1.32,4.16,1.46,0.8,1.27,2.17,0.76,,,,,,,,,,,,-0.3573753679181039,0.7775530633694019
GK,Serie A,29.0,0,0,1480000.0,,,,,0.0,,,,,,,,,,,1.25,6.67,,1.25,42.25,2.21,8.25,35.0,0.53,1.25,16.4,-0.3573753679181039,-1.8503140314260191
DF,Bundesliga,22.0,1,2,2080000.0,0.04,0.99,1.39,80.98,0.897,5.33,2.12,0.26,1.61,2.48,1.94,1.06,0.95,2.48,1.79,,,,,,,,,,,,-0.3573753679181039,0.2345083692093965
MF,Premier League,28.0,0,0,6042321.0,0.0,1.26,2.73,96.86,0.871,9.31,1.19,0.84,1.12,2.03,2.17,1.33,1.47,2.1,0.56,,,,,,,,,,,,-0.3573753679181039,0.24159670419320076
DF,Serie A,23.0,0,0,2560000.0,0.0,0.2,1.2,60.07,0.884,3.59,1.6,0.4,0.6,1.8,0.8,0.8,1.4,2.79,0.6,,,,,,,,,,,,-0.3573753679181039,-2.0671911073806832
MF,Ligue 1,30.0,4,0,2180000.0,0.13,1.87,3.04,58.48,0.848,6.65,1.71,1.0,1.42,1.49,3.36,1.49,2.07,2.16,0.68,,,,,,,,,,,,-0.3573753679181039,1.7686351134962832
FW,Ligue 1,34.0,17,8,7800000.0,0.48,3.52,2.4,22.64,0.684,2.12,2.28,0.68,5.11,7.77,0.66,0.3,1.06,0.86,0.83,,,,,,,,,,,,6.352122145088769,2.1661223696933933
"FW,MF",Serie A,23.0,1,1,1280000.0,0.14,1.82,0.98,15.98,0.623,0.7,1.12,0.42,3.22,6.45,0.7,0.14,0.42,0.42,3.22,,,,,,,,,,,,-0.3573753679181039,-0.9808016584236869
GK,Serie A,34.0,0,0,1480000.0,,,,,0.0,,,,,,,,,,,1.0,7.86,1.43,2.58,39.1,2.94,4.94,38.8,0.22,0.74,15.2,-0.3573753679181039,2.3301497021947313
MF,Serie A,30.0,3,2,6480000.0,0.07,1.41,4.46,61.12,0.833,6.45,2.02,0.79,1.89,4.05,0.89,0.45,0.48,0.58,0.24,,,,,,,,,,,,1.3199990103336146,1.006978206448148
DF,Serie A,26.0,2,1,1000000.0,0.13,0.52,1.97,44.54,0.769,4.19,1.83,0.33,0.85,3.8,1.57,1.18,0.72,2.49,0.85,,,,,,,,,,,,-0.3573753679181039,0.1577417574630445
"FW,MF",Serie A,24.0,2,1,770000.0,0.09,1.75,2.76,20.39,0.738,1.36,3.11,1.62,3.46,6.01,1.84,0.61,0.92,0.44,0.61,,,,,,,,,,,,-0.3573753679181039,1.1986552476771761
"FW,MF",La Liga,31.0,7,5,1800000.0,0.45,1.41,2.04,23.31,0.726,2.36,2.3,0.32,3.9,6.64,1.66,0.19,0.64,0.51,0.7,,,,,,,,,,,,-0.3573753679181039,0.24644392019698574
GK,La Liga,28.0,0,0,840000.0,,,,,0.0,,,,,,,,,,,1.19,7.2,2.0,2.7,36.46,6.13,8.14,54.7,0.61,0.76,13.7,-0.3573753679181039,2.999023899574051
DF,Ligue 1,29.0,3,2,1550000.0,0.06,0.92,2.79,53.12,0.759,4.27,2.28,0.47,1.87,7.94,2.49,0.95,1.1,1.66,0.59,,,,,,,,,,,,2.107370676731511,1.343918990685561
MF,Serie A,29.0,0,0,200000.0,0.0,0.23,0.45,57.69,0.858,2.64,0.23,0.15,0.38,0.3,1.13,1.43,0.9,3.99,1.88,,,,,,,,,,,,-0.3573753679181039,-2.9598975663796003
GK,Bundesliga,34.0,0,0,5600000.0,,,,,0.0,,,,,,,,,,,0.75,7.6,,3.13,37.63,1.19,7.44,31.2,0.34,1.06,15.6,-0.3573753679181039,-0.847002735357039
DF,Ligue 1,22.0,0,2,120000.0,0.03,0.87,2.95,56.17,0.753,5.9,1.98,0.7,1.21,5.46,2.01,0.94,1.04,1.57,0.37,,,,,,,,,,,,-0.3573753679181039,0.9365771473891593
"DF,FW",La Liga,38.0,1,0,1200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.3199990103336146,-1.5896440016616324
MF,Serie A,30.0,0,0,2780000.0,0.0,0.36,2.04,59.1,0.907,4.14,1.6,0.58,0.58,0.36,1.67,1.09,1.09,1.45,1.24,,,,,,,,,,,,-0.3573753679181039,-1.5940287318474178
GK,Ligue 1,24.0,0,0,1230000.0,,,,,0.0,,,,,,,,,,,0.91,8.08,,5.45,34.09,3.3,7.0,34.0,0.71,0.45,10.8,-0.3573753679181039,-1.014221284701869
DF,Serie A,22.0,2,1,930000.0,0.09,0.79,0.57,43.62,0.835,1.58,0.44,0.04,1.27,0.61,0.92,1.23,0.97,4.44,2.9,,,,,,,,,,,,-0.3573753679181039,1.1453617789508472
"FW,MF",La Liga,26.0,2,0,1900000.0,0.39,2.6,2.08,19.28,0.649,0.52,0.65,0.26,4.43,3.39,0.39,0.39,0.52,0.39,3.26,,,,,,,,,,,,-0.3573753679181039,-1.7794651244801019
FW,Bundesliga,28.0,4,0,2500000.0,0.35,1.77,2.03,27.41,0.745,2.65,1.59,0.62,3.54,6.9,0.97,0.18,0.71,0.97,2.3,,,,,,,,,,,,-0.3573753679181039,-0.7395681115169208
FW,Serie A,24.0,8,9,6410000.0,0.37,2.59,4.45,34.47,0.735,3.66,5.33,2.74,6.13,10.02,0.76,0.37,0.51,0.51,0.86,,,,,,,,,,,,-0.3573753679181039,1.8945625150337675
DF,Serie A,33.0,0,0,1850000.0,0.0,0.35,0.99,55.28,0.833,5.0,0.49,0.21,0.63,0.92,1.76,1.34,1.13,2.89,1.83,,,,,,,,,,,,-0.3573753679181039,-1.1897321976899415
DF,Bundesliga,29.0,0,0,4500000.0,0.0,1.26,2.16,70.65,0.825,5.47,1.38,1.08,1.5,4.93,3.3,1.44,2.4,2.94,1.32,,,,,,,,,,,,-0.3573753679181039,-0.8228420610412768
"MF,DF",La Liga,23.0,0,2,200000.0,0.0,1.04,2.46,51.47,0.82,5.19,1.89,1.04,1.32,6.14,1.79,0.76,1.13,0.85,0.76,,,,,,,,,,,,-0.3573753679181039,-1.3023388608751303
"FW,MF",La Liga,26.0,1,1,230000.0,0.0,2.07,2.59,27.55,0.722,1.86,2.07,1.24,5.07,6.01,1.66,0.41,1.04,1.55,3.11,,,,,,,,,,,,1.3199990103336146,-1.6078119560177135
MF,Bundesliga,30.0,0,0,850000.0,0.05,0.35,0.79,32.12,0.753,2.23,0.4,0.25,0.5,1.09,2.13,1.19,0.89,2.08,1.34,,,,,,,,,,,,-0.3573753679181039,-0.07889250207659936
DF,Serie A,24.0,1,7,2220000.0,0.03,0.9,2.72,46.35,0.778,2.9,4.1,1.26,1.83,5.86,1.14,0.48,0.6,0.96,0.9,,,,,,,,,,,,-0.3573753679181039,2.7749647129313386
"MF,DF",Bundesliga,30.0,3,0,8000000.0,0.21,1.55,3.71,73.98,0.854,7.37,2.94,0.82,3.04,6.85,1.34,1.08,0.52,0.67,0.21,,,,,,,,,,,,-0.3573753679181039,-0.4474116321127071
FW,Premier League,21.0,10,2,5135973.0,0.5,1.85,2.16,15.97,0.741,1.1,1.44,0.69,4.14,5.05,0.31,0.06,0.38,0.6,1.16,,,,,,,,,,,,-0.3573753679181039,1.3761721093943
DF,Serie A,26.0,1,1,2560000.0,0.05,0.47,1.78,52.75,0.776,2.67,0.8,0.33,1.87,5.52,1.97,0.51,1.36,2.53,1.59,,,,,,,,,,,,-0.3573753679181039,0.729727572011203
DF,Ligue 1,27.0,2,0,550000.0,0.05,0.65,0.46,50.43,0.844,2.65,0.14,0.14,1.35,0.31,1.42,1.37,1.49,5.2,3.52,,,,,,,,,,,,-0.3573753679181039,2.4684042479924844
"FW,MF",Ligue 1,22.0,0,0,330000.0,0.0,1.03,1.2,45.0,0.795,4.28,1.2,1.37,0.34,2.74,4.28,0.68,0.34,0.86,0.86,,,,,,,,,,,,-0.3573753679181039,-1.3095479773360277
"MF,DF",Premier League,22.0,2,1,604232.0,0.08,0.94,2.47,46.23,0.848,3.76,2.47,2.43,1.88,3.72,2.63,0.59,1.18,1.37,0.86,,,,,,,,,,,,-0.3573753679181039,1.8682439821250847
"FW,MF",Ligue 1,20.0,1,6,3600000.0,0.09,3.07,5.67,56.05,0.784,7.13,4.96,4.01,6.14,9.73,1.27,0.33,0.61,0.09,0.05,,,,,,,,,,,,-0.3573753679181039,0.9342504979327486
DF,La Liga,38.0,0,1,2840000.0,0.0,0.3,0.21,57.08,0.861,2.71,0.34,0.0,0.63,0.0,1.06,0.68,1.35,4.7,2.07,,,,,,,,,,,,-0.3573753679181039,1.019678183436099
GK,La Liga,36.0,0,0,590000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.4034612413219785
"FW,MF",La Liga,37.0,1,0,2080000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.6774234628488671
FW,Premier League,33.0,7,0,6042321.0,0.32,2.45,1.74,23.66,0.673,1.29,0.64,0.58,4.06,5.09,1.16,0.19,0.64,0.77,2.9,,,,,,,,,,,,-0.3573753679181039,0.17519105213661068
DF,La Liga,22.0,0,0,290000.0,0.0,0.24,0.49,56.75,0.799,2.44,0.33,0.0,0.65,0.16,2.11,0.81,1.22,4.63,1.63,,,,,,,,,,,,-0.3573753679181039,-0.6757494053951825
FW,La Liga,29.0,1,2,3100000.0,0.12,3.22,1.64,18.61,0.755,1.58,0.85,1.34,4.32,5.35,0.55,0.06,0.3,0.55,1.52,,,,,,,,,,,,1.3199990103336146,-0.08119214576016054
