position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
DF,La Liga,20.0,0,1,1670000.0,0.0,0.47,1.75,57.83,0.858,3.35,5.48,1.51,2.93,9.31,1.46,0.28,0.9,1.32,0.66,,,,,,,,,,,,-0.3573753679181039,-0.3290830607634235
"MF,DF",La Liga,25.0,0,0,720000.0,0.0,0.36,2.48,51.7,0.73,3.93,1.75,0.29,1.02,4.95,1.67,0.66,1.09,2.04,0.58,,,,,,,,,,,,-0.3573753679181039,-0.7471898248640452
FW,Premier League,29.0,0,0,4867655.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9444500978211594
DF,La Liga,30.0,0,0,300000.0,0.0,0.18,0.36,31.15,0.93,0.91,0.0,0.0,0.36,0.18,1.09,1.82,1.46,7.83,2.37,,,,,,,,,,,,-0.3573753679181039,-1.8769033761302882
DF,La Liga,32.0,1,0,730000.0,0.1,0.38,0.86,38.53,0.847,2.47,0.57,0.19,0.57,0.1,1.33,1.24,0.76,4.09,1.62,,,,,,,,,,,,-0.3573753679181039,-1.2097601930705073
"FW,MF",Ligue 1,27.0,6,6,4800000.0,0.24,1.77,4.37,50.98,0.752,7.2,2.12,0.98,1.97,6.57,1.81,0.83,1.46,0.55,0.51,,,,,,,,,,,,-0.3573753679181039,1.093324470884279
"FW,MF",Serie A,28.0,3,5,2780000.0,0.16,2.34,5.01,41.54,0.725,4.79,2.56,0.98,3.59,7.89,0.98,0.27,0.54,0.44,0.49,,,,,,,,,,,,-0.3573753679181039,-0.26890529891748227
DF,Serie A,24.0,3,0,1480000.0,0.1,0.48,0.86,43.9,0.848,2.29,0.51,0.0,0.75,0.41,2.36,2.53,0.72,4.66,2.91,,,,,,,,,,,,-0.3573753679181039,1.6078530093841366
MF,Serie A,28.0,0,0,740000.0,0.0,1.23,1.54,28.94,0.688,3.5,0.49,0.18,1.17,1.11,1.84,0.49,0.92,1.97,1.97,,,,,,,,,,,,-0.3573753679181039,0.37303372680273617
"MF,DF",Serie A,24.0,0,0,280000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.909995935998635
DF,Serie A,33.0,1,3,5560000.0,0.04,1.71,3.91,67.56,0.821,5.43,1.71,0.18,0.76,2.42,2.29,1.03,0.99,1.48,0.45,,,,,,,,,,,,-0.3573753679181039,0.6650923078887798
GK,Serie A,22.0,0,0,170000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.178585496678582
DF,Serie A,25.0,0,1,190000.0,0.0,0.45,1.98,49.82,0.785,4.14,0.72,0.27,0.81,1.08,1.71,2.34,1.35,2.88,2.16,,,,,,,,,,,,-0.3573753679181039,-0.5746533284695781
DF,Serie A,23.0,0,2,740000.0,0.0,0.25,2.17,44.08,0.755,3.26,2.76,0.84,1.51,4.35,1.59,0.42,1.34,2.09,0.59,,,,,,,,,,,,-0.3573753679181039,-1.023628023914232
GK,Serie A,29.0,0,0,1850000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.686406778150169
DF,Serie A,29.0,0,0,5560000.0,0.03,0.55,0.43,64.63,0.917,3.01,0.2,0.0,0.72,0.09,0.87,1.01,1.1,4.08,2.43,,,,,,,,,,,,-0.3573753679181039,1.3707791471854165
"DF,FW",Serie A,25.0,0,1,330000.0,0.0,1.18,3.31,36.02,0.763,2.35,2.46,1.71,2.89,7.16,2.57,0.53,1.82,0.43,0.32,,,,,,,,,,,,-0.3573753679181039,-1.0191225122513532
"FW,MF",La Liga,22.0,2,13,2000000.0,0.12,2.42,5.22,43.27,0.711,5.72,2.89,0.89,3.64,6.21,1.18,0.58,0.64,0.58,0.29,,,,,,,,,,,,0.42999629847979226,2.1516602499991273
"FW,MF",Premier League,28.0,5,2,4833857.0,0.19,2.19,4.27,41.88,0.768,5.76,4.46,1.6,3.16,7.02,1.19,0.71,0.74,0.37,0.3,,,,,,,,,,,,-0.3573753679181039,1.7067473409443497
MF,Bundesliga,26.0,0,0,1790000.0,0.05,1.2,1.65,32.98,0.723,3.3,1.15,0.55,1.3,2.5,1.3,0.8,0.9,1.7,1.1,,,,,,,,,,,,-0.3573753679181039,-0.11158522344441436
GK,Serie A,27.0,0,0,2780000.0,,,,,0.0,,,,,,,,,,,1.34,6.58,3.33,1.84,31.46,1.65,5.02,30.6,0.22,1.08,15.8,-0.3573753679181039,1.9847706466095087
MF,Premier League,20.0,1,1,2416928.0,0.09,1.36,3.99,41.42,0.761,4.44,2.18,1.18,2.63,3.17,2.18,1.09,1.27,1.63,1.27,,,,,,,,,,,,-0.3573753679181039,-0.5041502484784934
"FW,MF",La Liga,24.0,0,3,240000.0,0.0,1.92,4.96,30.86,0.631,3.03,2.89,3.18,3.48,7.62,1.78,0.81,1.26,1.18,1.33,,,,,,,,,,,,-0.3573753679181039,0.12021457847713939
GK,Bundesliga,28.0,0,0,380000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.519188228805339
FW,Premier League,24.0,21,2,7250785.0,0.52,2.75,2.62,20.04,0.786,2.91,2.71,1.6,5.13,5.36,0.29,0.16,0.65,0.49,0.49,,,,,,,,,,,,8.816868189738383,1.546879693151058
GK,Bundesliga,33.0,0,0,570000.0,,,,,0.0,,,,,,,,,,,1.15,7.1,0.0,3.75,49.87,2.05,4.47,41.6,0.79,0.8,13.9,-0.3573753679181039,-1.7533236276627615
GK,Bundesliga,27.0,0,0,3500000.0,,,,,0.0,,,,,,,,,,,1.34,6.85,0.0,3.13,41.69,2.44,4.13,33.9,0.88,1.84,17.1,-0.3573753679181039,1.995712603505071
GK,Bundesliga,31.0,0,0,900000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.853625327494999
FW,La Liga,28.0,23,6,3600000.0,0.71,2.71,2.38,16.73,0.737,1.49,1.85,1.04,5.3,5.63,0.15,0.03,0.42,1.04,2.68,,,,,,,,,,,,-0.3573753679181039,1.9609287934757296
FW,Ligue 1,32.0,19,2,6000000.0,0.66,2.66,2.44,22.24,0.723,2.62,0.84,0.91,5.02,5.93,0.84,0.29,0.84,0.33,0.95,,,,,,,,,,,,2.997373388585333,1.5161846752844421
GK,Ligue 1,35.0,0,0,500000.0,,,,,0.0,,,,,,,,,,,1.71,7.23,0.0,1.88,33.3,5.72,8.67,58.8,0.8,0.68,10.5,-0.3573753679181039,2.6176007506858
MF,Serie A,27.0,0,2,640000.0,0.0,0.85,1.8,40.37,0.855,3.3,0.3,0.2,1.1,0.5,1.9,1.2,1.15,1.95,1.6,,,,,,,,,,,,-0.3573753679181039,0.4537642266207944
MF,Ligue 1,25.0,0,0,1200000.0,0.35,3.3,2.61,47.43,0.799,3.47,2.43,3.13,2.95,4.34,2.08,0.87,0.7,1.22,0.52,,,,,,,,,,,,-0.3573753679181039,-1.487135731598472
MF,Premier League,25.0,5,5,9063481.0,0.08,1.38,3.78,66.92,0.863,6.91,1.52,0.68,1.04,1.8,3.02,1.18,2.31,0.87,0.93,,,,,,,,,,,,1.3199990103336146,2.15030206840727
